Yr,Tm,DVOA,DVOARank,OffDVOA,OffRank,DefDVOA,DefRank,STDVOA,STRank,PriorYrDVOA
2020,ARI,3.6,13,-2.4,19,-6.6,10,-0.6,19,-5.8
2020,ATL,-4.2,17,-3.1,21,-0.1,14,-1.2,21,-5
2020,BAL,18.6,7,4.3,11,-6.9,9,7.4,2,41.5
2020,BUF,23.8,4,15.6,5,-2.2,12,5.9,4,2.7
2020,CAR,-6.7,21,-0.2,17,7.4,24,0.8,16,-26.9
2020,CHI,-0.5,15,-10.6,25,-7.5,8,2.6,8,-2.1
2020,CIN,-24.7,30,-18.2,29,9.1,27,2.6,9,-25.2
2020,CLE,-5.6,18,5.4,9,7.4,25,-3.6,27,-10.1
2020,DAL,-11.1,23,-8.5,24,6,23,3.4,7,17.1
2020,DEN,-22.1,29,-20.3,30,-0.2,13,-2.1,23,-9
2020,DET,-15.7,27,0,16,17.7,32,1.9,11,-12.1
2020,GNB,25.9,3,29.1,1,0.5,17,-2.7,25,7.7
2020,HOU,-12.5,24,2.7,13,14.3,30,-1,20,-5.8
2020,IND,14.3,10,2.8,12,-9.5,7,2,10,-5
2020,JAX,-27.9,31,-12.6,27,15.2,31,-0.1,18,-18
2020,KAN,19.5,6,23.9,2,4.9,22,0.5,17,30.2
2020,LAC,-14.7,26,1.5,15,4.4,20,-11.8,32,-6.7
2020,LAR,15.4,9,4.4,10,-17,4,-5.9,30,5.5
2020,LVR,-6.3,19,1.8,14,9.6,28,1.6,13,-11
2020,MIA,4.6,12,-2.1,18,-3.3,11,3.4,6,-36.7
2020,MIN,-6.4,20,6.4,8,3.4,18,-9.3,31,15.4
2020,NOR,33.3,1,10.7,7,-19,2,3.6,5,29.3
2020,NWE,-7.1,22,-7.3,23,8,26,8.1,1,29.9
2020,NYG,-13.8,25,-11.8,26,3.8,19,1.8,12,-17.5
2020,NYJ,-30.5,32,-20.5,31,4.8,21,-5.3,29,-15.8
2020,PHI,-18.8,28,-16.9,28,0.2,15,-1.6,22,6.5
2020,PIT,16.8,8,-4.7,22,-20.2,1,1.4,14,-5.5
2020,SEA,20.1,5,13.7,6,0.4,16,6.8,3,13.8
2020,SFO,5.4,11,-2.4,20,-9.9,6,-2.1,23,27.9
2020,TAM,31.5,2,19.8,3,-14.6,5,-2.9,26,1.5
2020,TEN,2.9,14,18.4,4,11.1,29,-4.4,28,8.6
2020,WAS,-2.3,16,-21.8,32,-18.3,3,1.1,15,-25.7
2019,ARI,-5.8,20,3.8,13,7.2,23,-2.4,26,-40.4
2019,ATL,-5,17,2,15,4.4,20,-2.6,27,-3
2019,BAL,41.5,1,27.5,1,-12.7,4,1.3,10,17
2019,BUF,2.7,13,-7.3,22,-11.3,6,-1.2,21,-18.4
2019,CAR,-26.9,31,-14.4,28,8.1,25,-4.4,31,0.5
2019,CHI,-2.1,15,-10.1,25,-7.1,8,0.9,13,19
2019,CIN,-25.2,29,-16.5,29,13.3,30,4.6,1,-9.7
2019,CLE,-10.1,23,-4.6,20,6.3,22,0.8,15,-3
2019,DAL,17.1,6,24,2,3,19,-3.9,30,-5.2
2019,DEN,-9,22,-10.7,26,-3.7,13,-1.9,24,6.6
2019,DET,-12.1,25,-2.9,18,10.7,28,1.5,8,-15.2
2019,GNB,7.7,10,6.5,8,-1.1,15,0.1,18,-3.1
2019,HOU,-5.8,19,0.3,17,8.9,26,2.9,5,7.1
2019,IND,-5,16,-3.1,19,2.3,17,0.4,16,12.6
2019,JAX,-18,28,-9.5,24,11,29,2.5,7,-8.1
2019,KAN,30.2,2,22.7,3,-3.4,14,4.1,2,33
2019,LAC,-6.7,21,3.8,12,5.4,21,-5.1,32,22.7
2019,LAR,5.5,12,0.3,16,-6.9,9,-1.8,23,23.7
2019,LVR,-11,24,5.6,9,14.6,31,-2,25,-21
2019,MIA,-36.7,32,-13,27,22.2,32,-1.4,22,-16.5
2019,MIN,15.4,7,4.6,10,-9.9,7,0.8,14,8.1
2019,NOR,29.3,4,21.3,4,-4.3,11,3.6,3,20.7
2019,NWE,29.9,3,4.1,11,-24.6,1,1.2,11,14.2
2019,NYG,-17.5,27,-7.3,23,10.5,27,0.3,17,0
2019,NYJ,-15.8,26,-25,31,-5.8,10,3.4,4,-14.8
2019,PHI,6.5,11,2.6,14,-4,12,0,19,0
2019,PIT,-5.5,18,-25.4,32,-18.5,3,1.4,9,11.2
2019,SEA,13.8,8,17.4,5,2.7,18,-0.9,20,6.7
2019,SFO,27.9,5,7.2,7,-19.8,2,1,12,-20.3
2019,TAM,1.5,14,-7.3,21,-11.5,5,-2.8,28,-13
2019,TEN,8.6,9,12.9,6,1,16,-3.2,29,-4.9
2019,WAS,-25.7,30,-20.5,30,7.9,24,2.7,6,-18.6
2018,ARI,-40.4,32,-40.9,32,0.5,17,1,11,-11.2
2018,ATL,-3,17,8.9,8,13.2,31,1.4,10,1.5
2018,BAL,17,6,0.9,15,-13.1,3,2.9,6,18.5
2018,BUF,-18.4,28,-27.8,31,-14.5,2,-5.1,32,-9.8
2018,CAR,0.5,14,6.1,11,5.4,22,-0.2,18,13
2018,CHI,19,5,-3.4,20,-25.6,1,-3.2,26,-15.9
